Tweets	Links	Search term (exactly this expression)	Location	Sentiment
The roads are quite bad x	https://twitter.com/kezsajm/status/975267792978145288	quite bad	UK (Bristol)	neg
Bridesmaids is actually quite poor, disappointed	https://twitter.com/amymoylett1/status/283323759585280000	quite poor	UK (Bristol)	neg
Doctors is so bad its actually quite terrible	https://twitter.com/RowanNevin96/status/453517734933168128	quite terrible	UK (Bristol)	neg
The end sequence is really quite good	https://twitter.com/bristolsqueezed/status/976199117331460098	quite good	UK (Bristol)	pos
Everyone was placed together on one table so it was quite nice x	https://twitter.com/nudecleaning/status/976407193594494976	quite nice	UK (Bristol)	pos
Wish I was still playing beer pong in the sun! Why is the British weather so terrible	https://twitter.com/HarryFordy/status/730005121426284544	so terrible	UK (Bristol)	neg
Always seems to be something to put me in a bad mood	https://twitter.com/tomgrif16/status/975787541017321473	bad	UK (Bristol)	neg
My dreams are so awful at the moment, they're actually putting me off going to sleep. Why 😭	https://twitter.com/rosieb94/status/977308870526849024	awful	UK (Bristol)	neg
Thousand Autumns ... is my favourite, (best of a very good bunch). Fantastic book	https://twitter.com/_CBTBristol/status/976594260807077888	very good	UK (Bristol)	pos
The snacks look very good! We can’t wait to tuck in! #uxtailsoup	https://twitter.com/SixAgencyUK/status/976162609933312007	very good	UK (Bristol)	pos
Lloyd Kelly is going to be some player when he's older was very good today	https://twitter.com/GaryRussell36/status/975085214832775168	very good	UK (Bristol)	pos
I hope my insomnia goes away tonight. I don't fancy being awake at 4am again.	https://twitter.com/mrandrewdknight/status/976507179007184896	don't fancy	UK (Bristol)	neg
I don’t like people who sugar coat things. Say it how it is, or don’t say anything at all. Move away with that pussy ass energy.	https://twitter.com/asenatutora_/status/976086405062578176	don't like	UK (Bristol)	neg
Not ashamed to admit that I love a musical! Jersey Boys was fabulous!! @ Bristol Hippodrome	https://twitter.com/leonarunss/status/609786191970443264	not ashamed	UK (Bristol)	pos
Free drink at work- don't mind if I do :+1:🏼	https://twitter.com/LucyAppleby28/status/590615951156056064		UK (Bristol)	pos
Not ashamed to admit Dolly made me cry #legend #Glastonbury #DollyGlasto #only1DollyParton	https://twitter.com/sarsjane22/status/483312757346160640	not ashamed	UK (Bristol)	pos
Rain isn’t that bad really! Beautiful reflections this morning here on Clifton Down @bbcrb @BBCBristol @theemmabritton - Happy Friday everyone!!	https://twitter.com/BrisVADAR/status/974540825173504002	not bad	UK (Bristol)	pos
Conditions are not good out here #Bristol stay at home... we're still getting out but the roads are not good	https://twitter.com/sean_police/status/975262139920338944	not good	UK (Bristol)	neg
Halal & Kosher meat is slaughtered cruelly .normal slaughter is bad enough but this should be banned #countryfile	https://twitter.com/JenRandall6/status/975461957099769856	meat	UK (Bristol)	neg
Terrible bar concept in the most beautiful of spaces. Such a wasted asset whoever runs #Bristol	https://twitter.com/piehead/status/667060200445202432	terrible	UK (Bristol)	neg
constantly feeling fat and ugly	https://twitter.com/kathbxxx/status/976789313898844161	ugly	UK (Bristol)	neg
I should have taken the day off I feel horrible	https://twitter.com/NoSmellSyd/status/643327537242882048	horrible	UK (Bristol)	neg
Today sucks. I’m cramping hard and it’s the anniversary of two of my friends’ deaths. Someone please send me cat memes whilst I play Overwatch and cry.	https://twitter.com/essyxx/status/977928202214625280	sucks	UK (Bristol)	neg
So excited to find this @alpro unsweetened yoghurt! I really try to use plant based products	https://twitter.com/flossiedee23/status/967458253855539205	plant	UK (Bristol)	pos
Nice little snow walk at 8:30 this morning in Peasedown St John #snowday #BeastFromTheEast2 #Peasedown #bathuk @psjresidents	https://twitter.com/Coffeeandknit/status/975301830380019713	nice	UK (Bristol)	pos
Finishing off a good day with a good drink! 🍹🍹 #disaronnosour	https://twitter.com/hayleythatcher/status/972585512530825216	good	UK (Bristol)	pos
Delicious vegan cakes this morning!! Definitely coming back for more very soon	https://twitter.com/flossiedee23/status/964858143124672513	vegan	UK (Bristol)	pos
It's really unfair how beautiful redheads are 😘😱	https://twitter.com/StevieJBee/status/1052685956741062657		UK	pos
Hope you had an awesome day. It was great to have you with us Matt, you were all brilliant and so enthusiastic and took to it so well! Hopefully see you soon 🐑	https://twitter.com/redshepherdess/status/1052661532016951301		UK	pos
It was sooooo well done. Best series In a long time. The story of the twins all the way through was just so beautiful and sad	https://twitter.com/StevieJBee/status/1052300359119429632		UK	pos
Just finished watching #TheHauntingOfHillHouse. If you don't cry like a baby at the ending, you have no soul. Oh my goodness, the feels were way too strong. What a brilliant show. Enjoyed every single minute from beginning to end.	https://twitter.com/thatbrendanfan/status/1052295329314410498		UK	pos
I loveeeeee using face masks my skin feels amazing	https://twitter.com/EmilyJR_/status/1051926727931367424		UK	pos
I love the U.S office so much	https://twitter.com/hannstod/status/1051578712783839232		UK	pos
It is an absolute pleasure I have made some amazing friends and connections over the years #mutual #buildingsocieties #workfamily	https://twitter.com/teamaskins/status/1050458192512249856		UK	pos
Ooo, he looks lovely!	https://twitter.com/HelenT_tax/status/1052301543276507136		UK	pos
Fantastic to be a part of Year 5 trip to Carlisle Castle & archives, walking in the footsteps of the Tudors! @BeaconsideCofE	https://twitter.com/Fyjoph/status/1050769158886084608		UK	pos
Lovely job there Mark!	https://twitter.com/EdenDecorating/status/1050416327545036800		UK	pos
Well done Jay Dog. Good work and very well deserved. 👍	https://twitter.com/norsive/status/1053071608372453376		UK	pos
Gorgeous knickers on your sexy bum 😊😊💋💋	https://twitter.com/cherylannemk/status/1053044927612047362		UK	pos
i just watched Nerve, it's such a good film	https://twitter.com/FCWMusicalLover/status/1053042355014635527		UK	pos
The bathroom scene was legit the best bit	https://twitter.com/ChairmanBLAOW/status/1053041638757621766		UK	pos
Just started Mandy. It's very pretty.	https://twitter.com/ChairmanBLAOW/status/1053041638757621766		UK	pos
The album is awesome.	https://twitter.com/garyd74/status/1053034650824790017		UK	pos
Doctor foster is soooo good oh shit I am hooked🙀🙀	https://twitter.com/taneesha_jayne/status/1053024741475405825		UK	pos
How good are fresh sheets and shaved legs 😍😍  #classicgirltweet	https://twitter.com/chlonicole_x/status/1053024376004710400		UK	pos
Good photo!! Great food!!😋😋😋xx	https://twitter.com/anglesey42/status/1053015759943860229		UK	pos
You fabulous beautiful maniac.	https://twitter.com/cdwood2010/status/1053012542916911104		UK	pos
SO COOL!!!!😮	https://twitter.com/hollyrosiewhits/status/1053008984540676097		UK	pos
I've made pork burgers with smoked cheese & humble brag, they are darn good...	https://twitter.com/cakevscales/status/1052995474905620480		UK	pos
Best. News. Ever 🙌🏻	https://twitter.com/PinksCharming/status/1052984716285087744		UK	pos
Looking good, can’t wait to see the finished job 👍	https://twitter.com/neil_bunning/status/1052981083279683584		UK	pos
I've listen to a lot of their stuff. Yes very good stuff👍🏻	https://twitter.com/garyd74/status/1052979276075679749		UK	pos
Only watched the first 15 minutes so far. Looks like it will be good. O'driscoll and Rory best in it	https://twitter.com/Doyle_liam/status/1052978449864945665		UK	pos
If you haven't already watched #TheHauntingofHillHouse then I surely recommend that you do. It's just the best thing I've watched in so long. Just great cinematography.	https://twitter.com/tobyw7/status/1052974630720495617		UK	pos
Wow really good😀	https://twitter.com/hereforasmile/status/1052973763774636032		UK	pos
You both look gorgeous!! Xx	https://twitter.com/fashionbellee/status/1052966834159403008		UK	pos
I just finished the episode about the (cant remember his name..) milky-way kid. It's def the best episode by far with the best 'scary thing' as it was just so reminiscent of a Del Toro's style imo.. <3 He's also got the best story and makes you feel so bad for him. :'(	https://twitter.com/MandyBz/status/1052963671494807552		UK	pos
Love her face markings truly beautiful	https://twitter.com/PurpleeileenE/status/1052960734928359425		UK	pos
Had such a lovely experience today with Danny from @SkyUK He helped me find the best package for my home and shared his inner love for Disney with me . It was a pleasure talking him, a credit to the company 😊	https://twitter.com/PhoebeMcelvenna/status/1052944213090951168		UK	pos
Heated blankets honestly are the best thing ever 😍 #coldnight	https://twitter.com/Naomi_D33/status/1053028094586572800		UK	pos
Lili Reinhart is an absolute gem, she’s so beautiful	https://twitter.com/emily_may_carr/status/1053025823001911296		UK	pos
It’s honestly the best piece of TV I’ve seen all year, really well done on it	https://twitter.com/CharlyWestcott/status/1053022947592589312		UK	pos
Beautiful handwriting xx	https://twitter.com/debbiorchid/status/1053021448363802624		UK	pos
city have the best fans everr by far	https://twitter.com/gemma_juice/status/1053019925307187201		UK	pos
St James will be beautiful in the spring.	https://twitter.com/g1uqf/status/1053002760717787136		UK	pos
I do really love the deliciously ella cookbooks and I'm not veggie or vegan	https://twitter.com/cakevscales/status/1052997985293017089		UK	pos
I have the first one and it's lovely, or try her website as a good starting point :)	https://twitter.com/cakevscales/status/1052997985293017089		UK	pos
I'm home and in my pj's after having the absolute best time in #Darlington. Thank you @Socitm_ne for hosting #North18. Can't wait to do it all again next year 😀😀	https://twitter.com/channi2909/status/1052994418221993985		UK	pos
A beautiful painting.	https://twitter.com/MillsMc07/status/1052990511584354304		UK	pos
It is great to know there are good people like yourself helping others 🥂	https://twitter.com/Hea_Inspiration/status/1052984345865129990		UK	pos
Wow beautiful mansion :-)	https://twitter.com/heathshenk/status/1052936699528077318		UK	pos
The best band to stan no doubt ❤❤❤	https://twitter.com/ChrissyTopStar/status/1052929406157635584		UK	pos
@morgandaisie happy birthday you beauty, hope you have the best day everrrrr 🌹✨	https://twitter.com/amberxgriffiths/status/1052892274290495488		UK	pos
Tremendous stuff. Mate I’d forgotten how many brilliant songs she had. Top voice.	https://twitter.com/toffeeboy666/status/1052878729955946496		UK	pos
I was a HUGE fan of hers back in the day, even got a signed pic!! 😂	https://twitter.com/toffeeboy666/status/1052878729955946496		UK	pos
Thank you Carrie! Aw thanks hun! Miss ya!! hope you’re having the best time at uni!! Xx	https://twitter.com/sidrawoodward/status/1053067420708016133		UK	pos
Hilarious, best programme on tv atm	https://twitter.com/megzibookster/status/1053050835314376704		UK	pos
