text	label
what say	neu
plus add commercial experience tacky	pos
yes nearly time fly vx ear worm will away	pos
really miss prime opportunity men without hats parody	neu
well now do	pos
amazing arrive hour early good	pos
pretty graphic good minimal iconography	pos
this great deal already think trip amp go trip p	pos
fly fabulous seductive sky u stress away travel	pos
thank	pos
so excited cross country flight lax mco hear great thing virgin america	pos
fly	pos
know amazingly awesome bos fll please want fly	pos
fare may time carrier seat available select	neg
love graphic	pos
love hipster innovation feel good brand	pos
make non stop permanently anytime soon	neu
miss do worry soon	neu
hi bk cool birthday trip add elevate because enter middle flight booking problems	neg
be hour operation club sfo post online current	neu
great news america start flight hawaii end year	pos
nice vibe moodlight takeoff touchdown moodlitmonday sciencebehindtheexperience	neu
moodlighting way fly good experience ever cool calming moodlitmonday	pos
do good airline hand	pos
book flight hawaii	neu
view downtown los angeles hollywood sign rain mountain	pos
hey time flyer week excited but have hard time get flight add elevate account help	neg
unused ticket move new city fly how fly expire travelhelp	neu
flight leave dallas seattle time feb	neu
elevategold good reason rock	pos
wow blow mind	pos
after night tribute soundofmusic think agree	neu
all entertaining	neu
be flight way be suppose minute ago website show on time in flight thank	neu
julie andrews way impressive no	pos
wish fly atlanta soon	neu
julie andrews hand	neu
will flight leave dallas la february	neu
hi excited try book week amp page load thx	neg
know need spotify stat guiltypleasure	pos
lady gaga amazing	pos
carrie	neu
new marketing song let know think	neu
julie andrews lady gaga night carrie meh	neu
call week ago add flight elevate show help	neg
great carrieunderwood	neu
love beat classic	pos
flight dal dca try check status	neu
heyyyy guyyyys try hour	neg
hi virgin hold minute early flight la nyc tonight earlier	neg
congrat win award good deal airline us	pos
need change reservation have virgin credit card do need modify phone waive change fee or online	neu
hi book flight need add baggage	neu
worried great ride new plane great crew all airline like	pos
awesome fly sat morning any way correct bill	pos
time fly different rate policy medium bags thank	neu
apply member inflight crew team im interested flightattendant dreampath	pos
good whenever begrudgingly use airline delay late flight	neg
interesting flying cancel flight flight	neg
can bring reservation online flight booking problems code	neu
random q distribution elevate avatar bet kitty disproportionate share	neu
rnp yeah know	neu
hi point elevate account recent flight add flight point account	neu
like tv interesting video just disappointed cancel flightled flight flight go jfk saturday	neg
flight redirect	neu
be website btw new website great user experience time redesign	neg
let scan passenger leave plane tell remove bag class bin uncomfortable	neg
try add boy prince ressie sf thursday lax	neu
traveler miss flight late flight check bag miss morning appointment lose business	neg
check new music	neu
late flight bag check lose business miss flight am apt three people flight exp	neg
amazing customer service raeann sf good customerservice virginamerica fly	pos
schedule sfo dal flight today change weather look like flight	neu
getaway deal may way lot cool city cheapflight farecompare	pos
getaway deal may way lot cool city cheapflight farecompare	pos
getaway deal may way lot cool city cheapflights farecompare	neu
have great week	pos
come phl need horrible cold pleasecomeback	pos
good airline fly easy change reservation helpful representative amp comfortable flying experience	pos
another rep kick butt naelah represent team beautifully thank	pos
beautiful end design right cool book ticket b c end secure	pos
love team run gate las tonight wait delay flight keep thing entertaining	pos
and flight flight booking problems site totally folk problem	neg
like customer service min delay connect passenger long	neg
thank outstanding nyc jfk crew move mountain home san francisco tonight	pos
absolute good team customer service every time fly delighted thank	pos
completely awesome experience month bos las nonstop thank awesome flight depart time vabeatsjblue	pos
how watch flight	neu
flight cancel flightled	neu
terrible airline just give hotel hotline number say sorry	neg
flight number sfo cabo san lucas arrive	neu
assistance yesterday cancel flightl flight hotel hotline shame	neg
another delay flight likingyoulessandless	neg
need register service dog class ticket sfo gt dulles the phone queue hour long pls advise	neg
rock make watch oscar flight redcarpet oscar	pos
drop track	neu
xoxo	pos
good customer service rep world irmafromdallas take cake	pos
can find flt lax soon midnight monday that great customer service	neu
provide status flight not imagine time web indicate dude weather dallas	neg
amazing staff amp super helpful run princesshalf spoil comfort	pos
question possible book seat infant give option want seat	neg
always welcome welcome	pos
flight home dc sunset globe backtowinter work refresh	pos
special assistance travel kid infant priority boarding	neu
thank check ticket purchase customer happy	pos
website come online	neu
be flight love field sfo definitely cancel flightled monday february	neu
be flight lga dfw time	neu
driver license expire little month can fly friday morning expired license	neu
how reschedule cancel flightled flight online the change button grey	neg
ring wait minute book ticket vendor fix site	neg
website	neg
disappointed agent designate silver status check line close assist pasenger	neg
jump dallas austin market	neu
beat eps view take on southwestair va luv investor business daily	neu
lister monday	neu
begin dallas austin flight april ketr	neu
apply week ago have hear fly week disappointed	neg
thank follow	pos
shame va make people spend money strand city airline land jfk who reimburse	neg
dm	neu
flight sjc choice fly southwest vegas	neu
meet match get status airline upgrade restr	pos
only way fly elevate gold	pos
if guy flight cmh	neu
have issue find miss item plane can help find airport plane head	neu
match americanairlines status cool	pos
meet match get status airline upgrade	neu
suck	neg
thank	pos
flight fly boston tomorrow need home cancel flightl flight	neg
love guy song dance high school dance revue	pos
thank quick response apparently faster sit hold	pos
cool picture virginamerica plane wing what site	pos
keep great work	pos
goodness people field amazing pressure texas beatstheother crisis please fly ny	pos
thank great flight la boston pilot great job landing snow can la seriously	pos
new york area monday afternoon	neu
thank awesome support guy rock	pos
seat row recline mention website soreback	neg
flight delay hour la mechanical problem handle like pro toss free drink	neg
twitter team guy kill reschedule asap thank	pos
access website safari iphone seem work mac ipad need iphone add passbook	neg
ipad iphone click checkin link email receive flight	neu
mobile site break show number point will let checkin	neg
cancelled flight flight one sec delay airport cancel email reschedule	neg
put great deal pdx las las pdx love	pos
wish afford fly friday go home love airline	pos
like	pos
site help	neg
good flight attendant	pos
awesome watch nominate film foot meetthefleet oscar	pos
thank	pos
try reset password email arrive help	neg
airline base silicon valley disruption fcmostinnovative incubator	pos
very nicely	pos
