text	label
what say	neu
plus add commercial experience tacky	pos
today must mean need trip	neu
aggressive blast obnoxious entertainment guest face amp little recourse	neg
big bad thing	neg
seriously pay flight seat bad thing fly va	neg
yes nearly time fly vx ear worm will away	pos
really miss prime opportunity men without hats parody	neu
well now do	pos
amazing arrive hour early good	pos
know suicide second lead because death teen	neu
pretty graphic good minimal iconography	pos
this great deal already think trip amp go trip p	pos
fly fabulous seductive sky u stress away travel	pos
thank	pos
sfo pdx schedule mia	neg
so excited cross country flight lax mco hear great thing virgin america	pos
fly nyc sfo week fully sit seat large gentleman help	neg
fly	pos
know amazingly awesome bos fll please want fly	pos
fare may time carrier seat available select	neg
love graphic	pos
love hipster innovation feel good brand	pos
make non stop permanently anytime soon	neu
guy mess seating reserve seating friend guy give seat away want free internet	neg
status match program apply week call email response	neg
what happen ur vegan food option at ur site know will able eat hr fail	neg
miss do worry soon	neu
amazing cold air vent noair worstflightever roast sfotobo	neg
lax ewr middle seat red eye such noob maneuver sendambien andchexmix	neu
hi bk cool birthday trip add elevate because enter middle flight booking problems	neg
be hour operation club sfo post online current	neu
help leave expensive headphone flight iad lax today seat no answering number lax	neg
await return phone prefer use online self service option	neg
great news america start flight hawaii end year	pos
nice vibe moodlight takeoff touchdown moodlitmonday sciencebehindtheexperience	neu
moodlighting way fly good experience ever cool calming moodlitmonday	pos
do good airline hand	pos
book flight hawaii	neu
chat support work site	neg
view downtown los angeles hollywood sign rain mountain	pos
hey time flyer week excited but have hard time get flight add elevate account help	neg
plz help win bid upgrade flight	neu
unused ticket move new city fly how fly expire travelhelp	neu
flight leave dallas seattle time feb	neu
elevategold good reason rock	pos
dream	neu
wow blow mind	pos
after night tribute soundofmusic think agree	neu
all entertaining	neu
be flight way be suppose minute ago website show on time in flight thank	neu
julie andrews way impressive no	pos
wish fly atlanta soon	neu
julie andrews hand	neu
will flight leave dallas la february	neu
hi excited try book week amp page load thx	neg
know need spotify stat guiltypleasure	pos
lady gaga amazing	pos
carrie	neu
new marketing song let know think	neu
julie andrews lady gaga night carrie meh	neu
call week ago add flight elevate show help	neg
great carrieunderwood	neu
sorry mary martin	neu
love beat classic	pos
flight dal dca try check status	neu
heyyyy guyyyys try hour	neg
hi virgin hold minute early flight la nyc tonight earlier	neg
congrat win award good deal airline us	pos
fine lose bag	neg
need change reservation have virgin credit card do need modify phone waive change fee or online	neu
email customer service team let know need tracking number	neu
hi book flight need add baggage	neu
airline awesome lax loft need step game dirty table floor	neg
worried great ride new plane great crew all airline like	pos
awesome fly sat morning any way correct bill	pos
or watch good student film country foot	neu
time fly different rate policy medium bags thank	neu
go customer service be speak human asap thank	neg
happen doom	neu
supp biz traveler like customer service like neverflyvirginforbusiness	neg
apply member inflight crew team im interested flightattendant dreampath	pos
good whenever begrudgingly use airline delay late flight	neg
interesting flying cancel flight flight	neg
disappointing experience share business traveler meet neverflyvirgin	neg
have trouble add flight wife book elevate account help	neg
can bring reservation online flight booking problems code	neu
random q distribution elevate avatar bet kitty disproportionate share	neu
flying va but life happen try change trip jperhi can help va home page let	neu
why site when	neg
rnp yeah know	neu
hi point elevate account recent flight add flight point account	neu
like tv interesting video just disappointed cancel flightled flight flight go jfk saturday	neg
land lax hour late flight bag check business travel friendly nomorevirgin	neg
flight redirect	neu
be website btw new website great user experience time redesign	neg
check add bag website work try desktop mobile	neg
let scan passenger leave plane tell remove bag class bin uncomfortable	neg
what phone number find flight reservation	neg
today website useless answer phone	neg
try add boy prince ressie sf thursday lax	neu
traveler miss flight late flight check bag miss morning appointment lose business	neg
check new music	neu
direct flight unexpected layover vegas fuel peep buy vegas flight sneaky	neg
late flight bag check lose business miss flight am apt three people flight exp	neg
amazing customer service raeann sf good customerservice virginamerica fly	pos
call service line hang this awesome sarcasm	neg
site tripping try check get plain text version reluctant enter card info	neg
schedule sfo dal flight today change weather look like flight	neu
getaway deal may way lot cool city cheapflight farecompare	pos
getaway deal may way lot cool city cheapflights farecompare	neu
getaway deal may way lot cool city cheapflight farecompare	pos
getaway deal may way lot cool city cheapflights farecompare	neu
have great week	pos
come phl need horrible cold pleasecomeback	pos
concern fly plane need delay tech stop	neg
good airline fly easy change reservation helpful representative amp comfortable flying experience	pos
another rep kick butt naelah represent team beautifully thank	pos
beautiful end design right cool book ticket b c end secure	pos
love team run gate las tonight wait delay flight keep thing entertaining	pos
use browser amp brand reputation build tech response cross browser compatible website	neg
and flight flight booking problems site totally folk problem	neg
like customer service min delay connect passenger long	neg
thank outstanding nyc jfk crew move mountain home san francisco tonight	pos
absolute good team customer service every time fly delighted thank	pos
do provide complimentary upgrade class available seat	neu
need change flight s schedule hour min wait time phone be call intern help	neg
completely awesome experience month bos las nonstop thank awesome flight depart time vabeatsjblue	pos
how watch flight	neu
flight cancel flightled	neu
fail customer check process link tsa pre check	neg
terrible airline just give hotel hotline number say sorry	neg
flight number sfo cabo san lucas arrive	neu
assistance yesterday cancel flightl flight hotel hotline shame	neg
another delay flight likingyoulessandless	neg
need register service dog class ticket sfo gt dulles the phone queue hour long pls advise	neg
rock make watch oscar flight redcarpet oscar	pos
drop track	neu
xoxo	pos
book seat flight buy check create anxiety frustrated	neg
think pay extra buck luggage afford hire extra hand lame	neg
good customer service rep world irmafromdallas take cake	pos
can find flt lax soon midnight monday that great customer service	neu
provide status flight not imagine time web indicate dude weather dallas	neg
amazing staff amp super helpful run princesshalf spoil comfort	pos
pay premium fly country cancel flight flight offer check fee upgrade love sad face	neg
question possible book seat infant give option want seat	neg
always welcome welcome	pos
flight home dc sunset globe backtowinter work refresh	pos
